Maturity,DF,FwdRate_qc,FwdRateVol,FactorS1Vol,FactorS2Vol,FactorS3Vol
0.25,0.993335,0.026838881,0.41729,0.27915,-0.27035,0.14192
0.5,0.987306,0.024426064,0.42793,0.3581,-0.21802,0.08038
0.75,0.98165,0.023046911,0.44158,0.40363,-0.16928,0.01738
1,0.975928,0.02345255,0.44205,0.41638,-0.12766,-0.0383
1.25,0.969817,0.025204755,0.40384,0.38296,-0.07409,-0.06078
1.5,0.963332,0.026927373,0.34341,0.33337,-0.01992,-0.06473
1.75,0.956477,0.028667705,0.30275,0.29143,0.01657,-0.0624
2,0.949351,0.030024722,0.28316,0.26747,0.0283,-0.06681
2.25,0.941756,0.032258887,0.26115,0.24807,0.03036,-0.06613
2.5,0.93346,0.035549461,0.22869,0.21772,0.04467,-0.04839
2.75,0.924668,0.03803311,0.21001,0.19755,0.05826,-0.03082
3,0.9157,0.039174402,0.20513,0.1895,0.06923,-0.02008
3.25,0.906647,0.039940572,0.20287,0.18459,0.07644,-0.01474
3.5,0.897365,0.041374469,0.19642,0.1745,0.08216,-0.00564
3.75,0.887915,0.042571643,0.18801,0.16479,0.08369,-0.004
4,0.878366,0.04348529,0.17645,0.15402,0.08103,-0.00196
4.25,0.868735,0.044344938,0.16519,0.14183,0.0786,-0.0044
4.5,0.859017,0.045251724,0.15788,0.13163,0.07842,-0.00149
4.75,0.849257,0.045969595,0.15369,0.12579,0.08078,0.00576
5,0.839505,0.046465477,0.15182,0.12462,0.0828,0.01162
5.25,0.829731,0.047118886,0.15042,0.1226,0.08414,0.01421
5.5,0.819888,0.048021193,0.14589,0.11741,0.08713,0.01848
5.75,0.810003,0.048814634,0.14707,0.11274,0.08941,0.02245
6,0.800106,0.049478444,0.14557,0.10858,0.09092,0.02604
6.25,0.790226,0.05001101,0.14381,0.10493,0.09159,0.0292
